No,mon1,mon2,SMILES,polymer_class,thermal_conductivity
57,O=C(Cl)c1ccc2cc(C(=O)Cl)ccc2c1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccc5cc(C(*)=O)ccc5c4)cc3)cc2)cc1,polyamide,0.392 
58,O=C=NCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCNC(*)=O,polyurethane,0.391 
59,O=C(Cl)c1cncc(C(=O)Cl)c1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4cncc(C(*)=O)c4)cc3)cc2)cc1,polyamide,0.390 
60,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc(Nc2ccc(N)cc2)cc1,*Nc1ccc(Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccc(C(=O)Nc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,polyamide,0.388 
61,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccc(C(=O)Nc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,polyamide,0.387 
62,O=C(O)c1ccc(C(=O)O)[nH]1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(C(*)=O)[nH]3)cc2)cc1,polyamide,0.386 
63,O=C(CC(=O)Nc1ccc(C(=O)O)cc1)Nc1ccc(C(=O)O)cc1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccc(NC(=O)CC(=O)Nc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,polyamide,0.386 
64,O=C(O)c1ccc(C(=O)O)[nH]1,Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(N)cc3)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(C(*)=O)[nH]4)cc3)cc2)cc1,polyamide,0.386 
65,O=C=Nc1cccc(N=C=O)c1,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)Nc1cccc(NC(*)=O)c1,polyurethane,0.386 
66,O=C=NCCCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCNC(*)=O,polyurethane,0.385 
67,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1,Nc1ccc2c(c1)=c1ccc(N)cc1=2,*Nc1ccc2c(c1)=c1ccc(NC(=O)c3ccc(C(=O)Nc4ccc(C(*)=O)cc4)cc3)cc1=2,polyamide,0.385 
68,O=C(O)c1ccc2[nH]c(C(=O)O)cc2c1,Nc1ccc(N)cc1,*Nc1ccc(NC(=O)c2ccc3[nH]c(C(*)=O)cc3c2)cc1,polyamide,0.383 
69,O=C(O)c1ccc(C=Nc2ccc(C(=O)O)cc2)cc1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(C=Nc4ccc(C(*)=O)cc4)cc3)cc2)cc1,polyamide,0.383 
